category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type 
;;;ensoleillée à mi-ombre;Solanacées;hiver, printemps, début dété;bleu, violet, blanc;persistant;jusqu'à 2,40m;Brunfelsia australis;bouturage, semis;Amérique centrale et du sud;plante tropicale, plante méditerranéenne;printemps, été;;peu rustique, -2°C;tolérant;normal;riche et drainé;Brunfelsia bonodora, Brunfelsia latifolia;;;potée, serre, véranda;vivace arbustive
;;les aleurodes, les araignées rouges, les cochenilles;soleil;Caesalpiniacées;printemps, été;jaune, rouge-orange;persistant, perd son feuillage sous 10]C;de 4 à 5 m;Caesalpinia pulcherrima, Poinciana pulcherrima;semis au chaud en avril, bouturage herbacée au printemps, bouturage mi-aoûté en été;régions tropicales;arbuste à fleurs;printemps;;non rustique, à réserver aux jardins méditerranéen;neutre;plutôt frais;riche en humus, bien drainé;Poinciana pulcherrima;en culture en serre, taillez après la floraison pour lui conserver une taille raisonnable;les graines contenues dans les gousses sont toxiques;massif, isolé, bac, serre tempérée;vivace
;;les cochenilles, les araignées rouges, les mouches blanches;soleil;Caesalpiniacées;de mai à août;jaune aux étamines rouges;persistant;jusqu'à 3 m;Caesalpinia gilliesii;semis au chaud au printemps, bouturage en été;Madagascar, Argentine, Uruguay;arbuste à fleurs;printemps;;0°C sur une courte période;neutre;frais;mélange de terre de jardin et de terreau, drainé;Poinciana giliesii;En bac, taillez après après la floraison pour conserver un port compact;Toutes les parties de la plante sont toxiques;isolé dans le sud de la France, en bac ailleurs;vivace
;;;soleil à mi-ombre;Myrtacées;mars à juillet, puis sporadiquement;blanche;persistant;4 à 9 m;Callistemon salignus;bouture, marcottage, semis;Australie;arbuste dornement méditerranéen;printemps;;rustique, -10°C;légèrement acide à neutre;sec à humide;tolérant;;;;isolé, massif, conteneur;vivace
;;;soleil à mi-ombre;Myrtacées;mars à juillet, puis sporadiquement;rouge;persistant;4 à 8 m;Callistemon viminalis;boutures, marcottages, semis;Australie;arbuste d'ornement méditerranéen;printemps;;peu rustique, -8°C, à réserver aux régions au climat doux;légèrement acide à neutre;sec à humide;tolérant;;;;isolé, massif, conteneur;vivace
;;résistant aux maladies;soleil;Myrtacées;de mai à septembre;rouge;persistant;de 2 à 3 m;Callistemon citrinus;semis difficile, bouturage au printemps (environ deux mois);Australie;arbuste à fleurs;printemps;;0°C, rustique dans les régions au climat doux, en bac ailleurs que vous rentrerez dans un lieu frais (10°C environ) et lumineux pendant la période hivernale;neutre à acide;neutre;riche en humus, bien drainé;;Après un bouturage, pincez les jeunes pousses pour augmenter la ramification;;haie libre, isolé, bac;vivace
;;;ensoleillée;Astéracées, Composées;été;blanche;persistant;0,20 à 100 cm;Calocephallus brownii;bouture;Australie;plante méditerranéenne de rocaille, de littoral;printemps, fin d'été;;peu rustique, jusqu'à -5 °C;légèrement acide à neutre;plutôt sec;drainant et minéral;Calocephalus brownii;;;potée, jardinière, rocaille;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;étalée, mais surtout à la fin dété;jaune;persistant;1,50 à 3 m;Cassia corymbosa;bouturage en aout , semis;Amérique centrale;plante arbustive méditerranéenne;printemps;Cassia floribunda;peu rustique, -5°C;légèrement acide à légèrement basique;normal;drainant, argilo-sablonneux;Senna corymbosa;;;massif, talus;vivace
;;;ensoleillée;Caesalpiniacées;mai-juin, septembre;jaune;persistant;9 à 12 m;Cassia fistula;semis;Asie du Sud;arbre subtropical;printemps;;peu rustique, jusqu'à -3°C;neutre;normal à sec;tolérant;Bactyrilobium fistule, Cassia rhombifolia, Cassia bonplandiana, Cassia fistuloides Cathartocarpus excelsus;;plante toxique;massif, talus;arbustive
;;Ne craint pas les parasites, mais les chenilles en raffolent;soleil;Rhamnacées;mai pour les variétés à feuillage persistant et l'été pour les autres;épis bleus;caduc et persistant selon les variétés;de 1 m à 8 m selon les espèces;Ceanothus;bouturage pas très facile en septembre avec hormones de bouturage. L'enracinement demande de 30 à 90 jours.;Amérique du nord, Californie, nord du Mexique;arbuste à fleurs;printemps;;rustique jusqu'à -7°C, en climat rigoureux, protégez du froid en hiver.;neutre, évitez les terres trop calcaire qui provoquent toujours une chlorose spectaculaire.;normal;Plantez dans un terrain ordinaire, pas trop compact ni calcaire et surtout ne retenant pas d'humidité stagnante en hiver. Évitez les terres trop calcaire qui provoquent toujours une chlorose spectaculaire.;;Taillez-les après la floraison pour que l'arbuste reste trapu.;;isolé, rocaille, bordure, couvre-sol pour les céanothes persistants à port étalé, bac;vivace
;;;mi-ombre à plein soleil;Rhamnacées;mai à juin;mauve;persistant;4 à 6 m;Ceanothus arboreus;boutures, semis;Californie;arbuste à petit arbre;printemps;;peu rustique, jusqu'à -6 °C;acide à neutre;normal à sec;drainant;;;;isière, en  isolé, haie;vivace
;;;ensoleillée à mi-ombre;Rhamnacées;mai à juin;bleu à mauve;persistant;0,50 à 2 m;Ceanothus impressus;boutures, semis;Amérique du Nord;arbuste;printemps, automne;;rustique, jusqu'à -11 °C;légèrement acide à légèrement basique;normal à sec;pas trop compact, ni trop calcaire;;;;en isolé, en haie, palissé;vivace
;;;mi-ombre à plein soleil;Rhamnacées;mai à juin;mauve;persistant;4 à 6 m;Ceanothus thyrsiflorus var. repens;boutures, semis;Californie;arbuste à petit arbre;printemps;;rustique jusqu'à -10 °C;acide à légèrement basique;normal à sec;moyennement drainant;;;;lisière, en isolé, haie;vivace
;;;mi-ombre à plein soleil;Ulmacées;mars;blanches, mais peu voyantes;caduc;15 à 20 m;Celtis australis;boutures, semis;Europe du Sud, Afrique du Nord, Asie occidentale;arbre;automne, printemps;;très rustique, -34 °C;acide à basique;humide à sec;limono-argileux, calcaire... très tolérant;Celtis australis ssp caucasica;;;massif, lisière, arbre isolé;vivace
;;pourriture du pied si trop humide, araignées rouges;ensoleillée à mi-ombre;Solanacées;juin à octobre;blanc crémeux;persistant;1,50 à 2 m;Cestrum nocturnum;boutures, semis;Amérique du Sud;plante en pot pour l'extérieur;printemps;;peu rustique, -3 à -7 °C;neutre;normal;humifère et drainant;;;feuilles et baies toxiques à l'ingestion;en pot en extérieur, pour parfumer les soirées d'été;arbustive
;;;soleil à mi-ombre;Myrtacées;mars à avril;blanche, rose, ou mauve;persistant;jusqu'à 3 m;Chamelaucium uncinatum;boutures, semis;Australie;arbuste d'ornement méditerranéen;printemps;;peu rustique, -5°C, à réserver en extérieur aux régions au climat doux;acide à neutre;sec à moyennement  sec;graveleux, drainant;;;;isolé, massif, conteneur, bouquets, bonsaï;vivace
;;pucerons, pourriture grise;soleil;Astéracées, Composées;juin, juillet;jaune;persistant;de 30 à 40 cm;Senecio cineraria, Cinereria maritima;semis, bouturage fin août-début septembre;Europe;fleur, feuillage décoratif;printemps, automne;;rustique;neutre;normal;ordinaire, léger;;;;massif;vivace
;;;ensoleillée;Cistacées;juin, juillet;rose;persistant;de 1m 50 à 3m;Cistus x purpureus;bouturage;Europe méditerranéenne;arbuste décoratif à fleurs;automne ou printemps;;rustique, -14°C;assez tolérant;sec;bien drainé, tolérant au calcaire;;;;arbuste isolé, haie, rocaille;vivace
;;escargots, mineuses;ensoleillée;Légumineuses, Fabacées, Papilionacées;avril à septembre;rouge;persistant;1 à 3 m;Clianthus puniceus;semis, marcottage;Nouvelle- Zélande;arbuste rampant à sarmenteux;printemps;;peu rustique, jusqu'à -7°C;légèrement acide à basique;toujours frais en été;drainant;Donia punicea;;;en pot, palissée contre un mur;arbustive
;;;soleil;Labiacées, Lamiacées, Labiées;septembre à octobre;rouge-orangé;persistant;2 à 3 m;Colquhounia coccinea;boutures, semis;Himalaya, Chine;plante méditerranéenne ornementale et médicinale;printemps;;rustique -12°C;tolérant;normal à sec;drainant;;;;massif, sous-bois, lisère;vivace arbustive
;;les araignées rouges;soleil;Convolvulacées;de mars à juillet;blanc;persistant;60 cm;Convolvulus cneorum;bouturage et diviion de la touffe au printemps;Bassin méditerranéen;arbrisseau à fleurs;printemps;;moyennement rustique, pour climat doux;neutre;normal à sec;plutôt pauvre, sableux, bien drainé;;remise en forme de la touffe après la floraison;;massif, rocaille, muret, pot, terrasse, balcon;vivace
;;;mi-ombragée à très ensoleillée;Légumineuses, Fabacées, Papilionacées;printemps, été;jaune;persistant;60 cm à 1 m;Coronilla valentina ssp glauca;semis, boutures;méditerranéenne;plante méditerranéenne;printemps, automne;;rustique jusqu'à -15 °C;basique;normal à sec;drainant, calcaire, assez pauvre;Coronilla glauca;;;terrasse, pleine terre, bord de mer, plante mellifère;arbustif
;;;soleil à mi-ombre;Astéracées, Composées;juin, juillet;jaune;persistant;10 à 15 cm;Cotula lineariloba;divisions, semis;Afrique du sud;plante vivace;automne, printemps;;peu rustique, jusquà -7°C;moyennent acide à basique;normal à sec;tolérant;;;;bordure, massif, rocaille, talus;vivace herbacée
;;;soleil;Bignoniacées;mars à juillet;jaunâtre, verte, ou rosâtre;persistant;6 à 9 m;Crescentia cujete;;Amérique centrale et du sud;plante tropicale;;;non rustique, 2°C minimum;neutre à basique;normal à frais;bien drainé;;;toutes les parties de l'arbre à calebasses sont toxiques à l'ingestion;véranda, serre chauffée;arborée
;;;ensoleillée à ombre légère;Amaryllidacées;fin du printemps, été;blanc;persistant;2 à 3 m;Crinum pedunculatum;division des bulbes, semis;Australie;plante à bulbe;toute l'année;;semi-rustique, jusqu'à -9 °C;légèrement acide à légèrement basique, neutre;frais;sol  riche;;;;massif, potée;vivace
;;;ombre légère à mi-ombre;Lythracées;toute lannée;pourpre;persistant;30 à 60 cm;Cuphea hyssopifolia;division, semis, bouture;Mexique, Guatemala;sous-arbrisseau, plante méditerranéenne;printemps;;rustique jusquà -8°C;neutre à légèrement alcalin;frais;riche et humifère;;;;jardin dombre, sous-bois;plante vivace
;;;ensoleillée à ombre claire;Amaryllidacées;en fin d'été, la plupart du temps;rouge;persistant;60 cm;Cyrtanthus elatus;bulbilles, semis;Afrique du sud;plante à bulbe;automne, printemps;;peu rustique, jusqu'à -5 °C;légèrement acide à légèrement basique;normal;riche et drainant;Vallota speciosa;;;parterre, potée, fleurs coupées;vivace
;;;ensoleillée à mi-ombre;Iridacées;mars à juin;blanc;persistant;1 m;Dietes grandiflora;divisions, semis;Afrique du sud;herbacée rhizomateuse;printemps, été;;moyennement rustique, -7°C;acide à neutre;normal;riche et drainant;;;;massif, potée;vivace
;;pas de maladie;soleil;Rutacées;mars à juin;blanc, puis rosé;persistant;0,50 à 1 m;Diosma;bouturage;Afrique du sud, Australie, Asie;arbrisseau dornement;toute lannée pour les plantes en container;;rusticité moyenne, -6°C;acide à légèrement alcalin;frais;bonne terre, bien drainée;Diosma hirsuta, Diosma rubra;fin de printemps, après la floraison;;en isolé, en pot, en massif;persistant
;;;ensoleillée;Légumineuses, Fabacées, Papilionacées;mai à août;blanc rosé;persistant;20 à 50  cm;Dorycnium hirsutum;;Europe méditerranéenne, Asie mineure, Algérie;plante méditerranéenne;printemps, automne;;rustique, jusqu'à -15 °C;neutre à basique;sec;minéral, pauvre;Lotus hirsutum, Lotus hirsutus, Bonjeanie hirsutum;;;rocaille, talus sec, potée;sous-arbrisseau
;;résistant aux maladies et aux insectes;soleil;Aracées;de mai à juin;spathes de couleur pourpre;caduc;de 60 à 1,5 m;Dracunculus vulgaris;séparation des rejets au printemps ou à l'automne;de l'Europe méditerranéenne jusqu'en Crète et Turquie;fleurs;printemps, automne;;peu rustique, -7°c, prévoir un bon paillage de protection dans les régions nord;neutre;normal;riche en humus, bien drainé;Arum dracunculus;pas de taille nécessaire;fruits toxiques;massif, bordure;bulbe
;;;ombre claire mi-ombre;Wintéracées;avril, mai;blanc;persistant;4 à 12 m en culture, 25 m dans son milieu d'origine;Drimys winteri;bouture, marcottage, semis;Chine, Yunnan, Tibet;petit arbre pour climat doux;automne, printemps;;rustique, -10 °C;acide à neutre;frais à humide;humifère, profond et fertile;Drimys granatensis;;;isolé, fond de massif, sous-bois, plante aromatique, médicinale, mellifère;arbustive
;;;soleil, mi-ombre;Verbénacées;juillet, août;bleu, blanc;persistant;80 cm;Duranta repens;semis, bouturage;Antilles, Amérique centrale;arbuste à fleurs;printemps;;-5°C, moyennement rustique, a privilégier dans les régions au climat doux, en bac à rentrer dans la véranda ailleurs;neutre;frais;riche, drainé;Duranta plumieri, Duranta erecta;taillez-le pour le conserver un port compact;fruits très toxiques pour l'homme;massif, isolé, bac;vivace
;;résistante aux maladies et aux insectes;plein soleil;Boraginacées, Borraginacées, Boragacées;de mars à juin;bleu;persistant;1,80 m;Echium candicans;semis au chaud en mars, bouturage en août;Ile de Madère;vivace arbustive éphèmère, bisannuelle;printemps ou automne;;minimum de 5°C, à réserver aux régions au climat doux;alcalin, neutre ou acide;plutôt sec;pauvre, léger;Echium fastuosum;tailler après la floraison;;Fond de massif, isolé, bac, bordure de mer;vivace
;;;soleil;Boraginacées, Borraginacées, Boragacées;mai à juillet;rouge cerise;persistant;1 à 3 m;Echium wildpretii;semis;Iles Canaries;plante bisannuelle;printemps;;peu rustique, -7°C;neutre;normal à frais;très drainant, minéral, sablonneux;Echium bourgaeanum;;;massif dombre, bas des haies, sous-bois;herbacée
;;;ensoleillée à ombre légère;Restionacées;étalée;brune;pas de feuilles;1,5 à 3 m;Elegia capensis;;Afrique australe;feuillage décoratif;printemps, automne;;-2°C;neutre;frais mais drainé;sableux et pauvre;;;;massif, en isolé, bordure deau;vivace
;;;soleil;Myoporacées;mars à juin;mauve;persistant;1,50 m;Eremophila nivea;;Australie;plante arbustive méditerranéenne;;;peu rustique, -4°C;neutre à légèrement basique;sec;très drainant;;;;potée, jardin sec;vivace
;;;mi-ombre;Ericacées;mai-juin;rose;persistant;20 à 80 cm;Erica ventricosa;boutures, semis;Afrique du sud;bruyère;printemps;;peu rustique, -1°C;acide;normal à humide;argilo sablonneux;;;;potée, massif en zone de climat doux;arbustive
;;;ensoleillé à  ombre légère;Rutacées;octobre à mars;blanc;persistant;de 1m  à 1m 80;Eriostemon myoporoides;semis, bouture;Australie orientale;arbuste à fleurs;automne, printemps;;peu rustique, -6°C, à réserver aux régions au climat doux;légèrement acide à neutre;normal à sec;drainant;Phylotheca myoporoides;;;massif, potée;arbustive
;;;ensoleillée;Légumineuses, Fabacées, Papilionacées;de juillet à octobre;rouge;caduc;2 à 3 m;Erythrina crista-galli;semis, boutures;Amérique centrale;arbuste, petit arbre;printemps;;rustique jusqu'à -10°C;légèrement acide à neutre;normal à frais;tolérant;;;;pleine terre;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;mai à juillet;rouge;caduc;1 à 2 m;Erythrina herbacea;boutures, semis;Amérique centrale;plante semi-arbustive;printemps;;rustique, -10°C;légèrement acide à légèrement basique;normal;drainant, argilo-sableux;Erythrina arborea;;;massif, conteneur;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;mars-avril;rouge;caduc;2 à 5 m;Erythrina speciosa;boutures, semis;Amérique du sud;petit arbre tropical;printemps;;1°C;acide à légèrement basique;normal à humide;humifère;Erythrina reticulata, Erythrina polianthes, Erythrina graefferi;;;massif, conteneur;vivace
;;;soleil;Myrtacées;juin;crème;persistant;35 à 40 m;Eucalyptus globulus;semis;Australie;arbre de haute taille;printemps;;peu rustique, de - 6° C à -10 °C;acide à basique;humide à sec;tolérant;Eucalyptus divaricata;;;arbre isolé, arbuste, bouquet;vivace
;;;ombre légère à mi-ombre;Astéracées, Composées;août à octobre;blanc;persistant;1,20 m à 2 m;Eupatorium ligustrinum;bouture, semis;Mexique;plante méditerranéenne;printemps;;rustique, -7°C;légèrement acide à légèrement basique;normal à frais;tolérant, argileux à limoneux;Eupatorium micranthum, Eupatorium  weinmanniamum, Ageratum lugistrinum;;;conteneur, massif en climat doux;arbustive
;;;ensoleillée;Euphorbiacées;avril à juin;jaune acidulé;semi-persistant;1 à 2 m;Euphorbia dendroïdes;bouture, semis;;arbuste xérophile, plante méditerranéenne;printemps, automne;;rustique, -10°C;acide à neutre;moyennement sec à très sec;drainant, assez pauvre et graveleux;;;;belle ornementale pour milieu très secs;vivace
;;;ensoleillée;Astéracées, Composées;mars à novembre, voire toute l'année;jaune;persistant;1 m à 1 m 20;Euryops pectinatus;semis, bouture;Afrique du sud;plante méditerranéenne;printemps;;peu rustique, -4°C, à réserver aux régions au climat doux;légèrement acide à neutre;normal à sec;riche et léger;;;;parterre, potée, talus;vivace arbustive
;;;ensoleillée à mi-ombre;Solanacées;mai à juin;blanc pur;persistant;Jusquà 2 m;Fabiana imbricata;boutures, semis, rejets;Chili et Argentine;plante pour climat doux;printemps, automne;;rustique -12°C;acide à alcalin;normal à sec;drainant à tendance calcaire;;;;massif, lisière, plante médicinale;vivace arbustive
;;résistante aux maladies, les pucerons, les;soleil;Astéracées, Composées;de mai à octobre;bleu;persistant;60 cm;Felicia amelloides;semis au chaud au printemps, bouturage de tiges en septembre;Afrique du sud;fleur;printemps;;0°C, rustique dans les régions au climat doux;neutre;normal à sec;fertile, bien drainé;Agathaea coelestis, Aster amelloides;Eliminez les fleurs fanées au fur et à mesure. Pincez les jeunes pousses pour obtenir une bonne ramification.;;rocaille, muret , bordure, pot, jardinière;vivace
;;les aleurodes, les araignées rouges;soleil;Caesalpiniacées;juillet, août;rouge écarlate ou jaune;persistant;10 m;Delonix regia, Poinciana regia;semis en mai (tremper les graines 24h dans de l'eau tiède), bouturage en été;Madagascar;arbre à fleurs;printemps;;10°C;neutre;frais;riche, frais et bien drainé;Poinciana regia;pas de taille nécessaire;;isolé;vivace
;;;soleil, mi-ombre;Apocynacées;printemps, été, automne;blanches au coeur jaune;semi-persistant;3 à 4 mètres;Plumeria pudica;semis au chaud au printemps, bouturage au printemps, en prenant soin de laisser la coupe sécher avant la plantation pour éviter la pourriture;Colombie, Vénézuela;arbre;printemps;;-4 °C;neutre;normal voir sec;bien drainé;;;sève toxique, fleurs comestibles utilisées dans la pâtisserie;bac, isolé, véranda, serre, fleurs coupées;vivace
;;;soleil;Apocynacées;de décembre à juin, saison sèche;blanc, rose, jaune, rouge;caduc, perd ses feuilles au début de la période de sécheresse, en hiver a la maison pour une culture d'intérieur;de 6 à 10 m, 2 m en bac;Plumeria alba;semis au chaud au printemps, bouturage au printemps en prenant soin de laisser la coupe sécher avant la plantation pour éviter la pourriture;Amérique tropicale;arbre;printemps;Plumeria rubra, Plumeria pudica;de 4 à 1 °C;neutre;normal;mélange de terreau, de terre ordinaire et de sable;;;sève toxique, fleurs comestibles utilisées dans la patisserie;bac, isolé, véranda, serre;vivace
;;;mi-ombre;Onagracées;juillet à novembre;rose;caduc;1 à 4 m;Fuchsia microphylla;bouturage, semis;Amérique centrale;plante arbustive, voire arborescente;printemps;;peu rustique, -8°C, à réserver aux régions au climat doux;acide à neutre;frais;riche et humifère;;;;potée, pleine terre;plante vivace
;;;soleil, mi-ombre;Scrophulariacées;mai à septembre;rouge vif;persistant;0,40 à 2 m 50;Galvezia speciosa;bouturage;Amérique centrale;arbuste;printemps;;peu rustique, -5°C;légèrement acide à légèrement alcalin;normal à sec;riche et drainant;Galvezia speciosa Gran Canon est appelé aussi Galvezia juncea;;;potée, pleine terre en zone méditerranéenne;vivace
;;;mi-ombre, ombre claire;Rubiacées;juillet à septembre;blanc;persistant;40 cm à 2,50 m;Gardenia jasminoides;boutures, semis;Asie;plante arbustive, méditerranéenne;printemps;;rustique jusqu'à -9°C;acide;frais;riche et drainant;Gardenia augusta;;;plante en pot, intérieur/extérieur, pleine terre en climat doux;vivace
;;les pucerons, la pourriture grise;plein soleil;Astéracées, Composées;de juin à octobre;jaune, orange, rouge, brun, rose;persistant;30 cm;Gazania;semis au printemps, division de la touffe, bouturage en été;Afrique du sud;fleur;printemps;;0°C pendant de courtes périodes;neutre, calcaire;normal, sec;mélange de terre et de sable, bien drainé;;Supprimez les fleurs fanées au fur et à mesure.;;massif, rocaille, bordure, pot, jardinière;annuelle ou vivace selon l'espèce
;;;soleil à mi-ombre;Loganiacées;mai à juillet;jaune;persistant;3 m;Gelsemium sempervirens;bouture, marcotte, semis;sud-est des Etats-Unis;plante grimpante;printemps, automne;;peu rustique, -4°C, à réserver aux régions sud en extérieur;acide à basique;frais à humide, mais résiste à la sécheresse une fois bien enracinée;riche et humifère;Gelsemium nitidum;;;mur, pergola, véranda;vivace
;;les limaces;situation légèrement ombragée, à l'abri du vent qui risque de le faire basculer surtout en période de floraison;Géraniacées;d'avril à août, selon les régions;rose;persistant;de 1 à 1,5 m;Geranium maderense;semis au printemps;Ile de Madère;vivace éphémère;printemps;;moyennement rustique, à protéger du froid en dehors des régions au climat doux;neutre;normal;bien drainé;;;;jardin d'ornement, pot;vivace éphémère
;;;soleil;Proteacées;janvier à avril;rouge rosé et blanc;persistant;1 à 2 m;Grevillea georgeana;boutures, semis;Ouest de l'Australie;arbuste, plante méditerranéenne;printemps;;semi-rustique, jusqu'à -7 °C;très acide à neutre;sec, voire très sec en été;pauvre et drainant, caillouteux;;;;potée, massif;vivace
;;;soleil;Proteacées;printemps, été, parfois davantage;rouge, jaune;persistant;2,50 m maximum, mais variable;Grevillea juniperina;boutures, semis;Australie;arbuste, plante méditerranéenne;printemps;;rustique jusquà -8°C;très acide à neutre;plutôt sec;pauvre et drainant;;;;potée, massif;vivace
;;;soleil à mi-ombre;Proteacées;fin d'hiver, printemps, parfois davantage;rouge corail;persistant;1 à 2 m;Grevillea rhyolitica;boutures, semis;Australie;arbuste, plante méditerranéenne;printemps;;peu rustique, jusqu'à -8°C;acide à neutre;normal;pauvre et drainant;;;;potée, massif;vivace
;;;soleil à mi-ombre;Proteacées;fin d'hiver, printemps, voire toute l'année;rouge corail;persistant;1 à 3 m;Grevillea x 'Robyn Gordon';boutures, semis;Australie;arbuste, plante méditerranéenne;printemps;;peu rustique, jusqu'à -4°C;acide à neutre;normal à sec;pauvre et drainant;;;;potée, massif;vivace
;;;ensoleillée à mi-ombre;Légumineuses, Fabacées, Papilionacées;mars à mai;pourpre, blanche;persistant;180 à 250 cm;Hardenbergia violacea;semis, bouturage;Australie;plante grimpante tropicale à utiliser en extérieur sous climat doux;printemps;;peu rustique, -3°C;acide à neutre;frais à normal;léger et drainant;Kennedya cordata;;;plante palissée, massif, potée;vivace
;;;soleil;Astéracées, Composées;juillet, août;jaune;persistant;20 à 60 cm;Helichrysum italicum;semis, boutures;pourtour méditerranéen;sous-arbrisseau;printemps;;rustique, -9°C;neutre à basique;moyennement sec;drainant et assez pauvre;Helichrysum angustifolium;;;massif, huile essentielle, bouquets secs;vivace
;;;soleil à mi-ombre;Astéracées, Composées;mars à juillet;jaune;persistant;30 à 40 cm;Hertia cheirifolia;semis, boutures, marcottage;Algérie, Tunisie;plante vivace, plante méditerranéenne;printemps;;rustique jusqu'à - 12°C;plutôt basique;normal à sec;assez drainant, calcaire;Othonna cheirifolia, Othonnopsis cheirifolia;;;massif sec, talus, rocaille, potée, jardin de gravier,  bord de mer;sous-arbrisseau
;;;soleil à mi-ombre;Malvacées;du printemps à la mi-été;rose;persistant;2 à 4 m;Hibiscus splendens;semis, bouture, rejet de souches;Australie;arbustive;printemps, automne;;peu rustique, jusqu'à  -4 °C;acide à basique;normal à frais;riche et drainant;;;;massif, conteneur;vivace
;;;ombrée à ensoleillée;Euphorbiacées;printemps;rouge;persistant;10 à 12 m;Hura crepitans;;Amérique tropical;arbre tropical;printemps;Hura polyandra;peu rustique, -2°C;acide à légèrement basique;frais à humide;humifère;;;;ornemental, médicinal, bois;vivace
;;résistante aux maladies et aux insectes;soleil;Amaryllidacées;de juin à août;jaune, blanc;caduc;de 50 à 80 cm selon les espèces;Hymenocallis;semis ou séparation des bulbes au printemps;Amérique tropicale, jusqu'au sud-est des USA;vivace;plantation en avril à 10 cm de profondeur et avec un espacement de 20 cm entre chaque bulbe;;moyennement rustique, à rentrer ou à protéger dans les régions aux hivers rudes;neutre;frais;un sol riche en matière organique;;;toxique;massif et bordure dans les régions propices, sinon pot, jardinière, véranda;bulbe
;;;ensoleillée;Convolvulacées;Juin à octobre;bleu;caduc;3 à 10 m;Ipomoea indica;semis, marcottage;Amérique du sud, naturalisée ailleurs;plante grimpante;printemps;;peu rustique, -4°C;ph acide à neutre;normal;tolérant, riche;Ipomoea learii, Ipomoea acuminata;;;haie, palissade, pergola, véranda;vivace
;;;soleil à mi-ombre;Proteacées;avril à mai;jaune;persistant;0,50 à 2 m;Isopogon anemonifolius;bouture, semis;Australie;plante méditerranéenne;printemps;;semi-rustique, jusqu'à -6 °C;acide à neutre;normal, voire humide;caillouteux ou sablonneux;;;;conteneur, pleine terre en climat non gélif;arbustive
;;;soleil à mi-ombre;Proteacées;avril à mai;rose;persistant;1m 20 à 1m 80;Isopogon formosus;bouture, semis;Australie;plante méditerranéenne;printemps;;rustique jusquà -7°C;acide à légèrement basique;normal à sec;caillouteux ou sablonneux;;;;conteneur, pleine terre en climat non gélif;vivace
;;virus de la mosaïque;ensoleillée à mi-ombre;Iridacées;mai à juillet;jaune à orange;caduc;30 à 50 cm;Ixia dubia;bulbilles, semis;Afrique du Sud;plante à bulbe;printemps, été;;rustique jusqu'à -12°C;légèrement acide à légèrement basique;selon la saison;drainant;Ixia frederickii;;;massif, potée;vivace
;;;soleil, mi-ombre, ombre claire;Oléacées;fin d'hiver, début du printemps;jaune;persistant;3 m palissé / 0,60 à 1,50 m en buisson;Jasminum mesnyi;bouturage, marcottage;Chine;plante arbustive méditerranéenne à floraison hivernale;printemps, automne;;rustique jusqu'à -9 °C;acide à basique;normal à sec;humifère et relativement drainant;Jasminum primulinum;;;culture en conteneur, pleine terre, en buisson ou palissée sur un support, haie;semi-grimpante
;;;mi-ombre;Oléacées;juin à août;blanc;persistant;1,50  à 3 m;Jasminum multipartitum;bouturage, semis;Afrique du sud;plante méditerranéenne;printemps, automne;;peu rustique, -6°C, à réserver en extérieur aux régions au climat doux;légèrement acide à neutre;normal;argileux et humifère;;;;massif, potée, palissé;semi-grimpante
;;;mi-ombre, ombre claire;Oléacées;floraison étalée;blanc;persistant;2 à 3 m;Jasminum sambac;bouturage, semis, marcottage;Inde;plante méditerranéenne;printemps, automne;;peu rustique, jusqu'à -6 °C;légèrement acide à neutre;sans excès, mais avec des arrosages fréquents;argileux et humifère;Nyctanthes sambac;;;culture en potée, parfum pour le thé;semi-grimpante
;;;soleil, mi-ombre;Apocynacées;de mai à août;blanc;persistant;5 m;Trachelospermum jasminoides;bouturage au printemps;Japon, Corée, Chine;plante grimpante à fleurs;printemps;;rustique, jusqu'à -15°C;ni trop acide, ni trop alcalin;normal à sec;léger, drainé, attention à l'excès d'eau pendant la période hivernale;;Taillez votre plante à la fin de l'hiver pour la remettre en forme. Apportez de l'engrais pendant la période estivale.;sève toxique;bac, treillage, pergola;vivace
